"","ba�os","m2","jardin","ascensor","parking","piscina","terraza","habitaciones","a_reformar","tipo_vendedor","tipo_inmueble","latitude","longitude","precio","precio_final","distrito","planta","vistas","variacion_precio","dias_venta"
"7297",2,90,0,1,1,0,0,3,0,1,1,39.456355,-0.390582,200000,200000,"patraix",3,"exterior",0,12
"7318",1,94,NA,1,0,NA,NA,4,0,2,1,39.4555007,-0.4029794,135000,135000,"patraix",3,"exterior",0,0
"7329",1,79,0,0,0,0,0,3,1,2,1,39.451413,-0.3321036,75000,75000,"poblats marítims",2,"",0,24
"7414",1,98,0,0,0,0,0,4,0,2,1,39.470082,-0.3936941,105000,105000,"l'olivereta",3,"exterior",0,8
"7418",2,113,1,1,1,1,1,2,0,2,1,39.47262,-0.34144,361000,361000,"algirós",1,"exterior",0,39
"7420",2,132,0,1,1,1,1,3,0,2,1,39.47262,-0.34144,438000,438000,"algirós",9,"exterior",0,25
"7458",1,107,0,1,0,0,0,2,1,1,1,39.4850303,-0.3950165,145000,145000,"benicalap",4,"exterior",0,39
"7485",2,116,NA,1,NA,0,NA,3,0,2,1,39.470268,-0.385087,249900,249900,"extramurs",3,"exterior",0,12
"7529",2,110,NA,1,0,NA,NA,2,0,2,1,39.4768125,-0.3678702,415000,415000,"el pla del real",5,"exterior",0,0
"7596",2,105,NA,1,0,NA,NA,3,0,2,1,39.4706808,-0.3370102,259000,259000,"poblats marítims",9,"exterior",0,0
"7635",2,107,NA,1,NA,NA,NA,3,1,2,1,39.4701626,-0.3681104,420000,420000,"l'eixample",NA,"",0,0
"7645",2,85,0,1,1,0,0,2,0,2,1,39.4519988,-0.3857895,148000,148000,"jesús",2,"exterior",0,4
"7657",2,97,NA,1,1,NA,1,3,0,2,1,39.4917731,-0.3789815,132200,132200,"rascanya",1,"exterior",0,41
"7683",1,66,0,1,0,0,1,3,0,2,1,39.4940464,-0.3744388,61200,61200,"rascanya",3,"exterior",0,0
"7721",2,90,NA,1,NA,NA,NA,3,1,2,1,39.4633936,-0.3682304,280000,280000,"l'eixample",NA,"",0,25
"7734",1,84,0,0,0,0,0,1,0,2,1,39.4769403,-0.3777041,195000,195000,"ciutat vella",1,"",0,12
"7735",2,150,0,1,0,0,0,4,0,2,1,39.4661287,-0.3862574,320000,320000,"extramurs",5,"",0,0
"7738",1,88,0,0,0,0,0,1,0,2,1,39.4850007,-0.3703358,110000,99000,"la saïdia",NA,"",-11000,44
"7747",2,125,0,1,0,0,0,4,0,2,1,39.476205,-0.3840968,250000,250000,"extramurs",5,"exterior",0,25
"7765",2,150,1,1,1,1,NA,4,0,2,1,39.4528533,-0.3825822,240000,240000,"jesús",4,"exterior",0,39
"7808",1,72,NA,NA,NA,NA,NA,2,0,2,1,39.487168,-0.3642813,96000,96000,"benimaclet",NA,"",0,5
"7835",1,72,0,0,0,0,1,2,0,2,1,39.487768,-0.3680813,96000,96000,"benimaclet",5,"exterior",0,8
"7848",1,70,NA,0,0,NA,NA,3,0,2,1,39.4733734,-0.3285593,170000,170000,"poblats marítims",3,"exterior",0,37
"7849",2,104,NA,1,0,NA,NA,3,0,2,1,39.4771784,-0.3642888,280000,280000,"el pla del real",8,"interior",0,28
"7883",1,130,NA,1,0,NA,1,3,0,2,1,39.4895276,-0.3911014,160000,160000,"benicalap",1,"exterior",0,13
"7887",1,88,NA,1,0,NA,NA,3,1,2,1,39.4852175,-0.3832255,107000,107000,"la saïdia",8,"exterior",0,15
"7899",2,121,0,0,0,0,0,4,0,2,1,39.4674849,-0.3448728,175000,175000,"camins al grau",3,"exterior",0,16
"7902",2,135,NA,1,NA,NA,1,4,0,2,1,39.4690078,-0.3276489,275000,275000,"poblats marítims",2,"",0,53
"7919",1,80,NA,1,0,NA,1,3,0,2,1,39.4913482,-0.3764239,150000,150000,"la saïdia",NA,"",0,25
"7966",1,70,NA,0,0,NA,NA,2,0,2,1,39.4623243,-0.4087791,42990,42990,"l'olivereta",2,"exterior",0,8
"7981",1,56,0,1,0,1,0,1,0,2,1,39.4876088,-0.4044193,163280,163280,"campanar",5,"exterior",0,0
"8007",4,386,NA,1,1,0,1,5,0,2,1,39.4793125,-0.3663702,1350000,1350000,"el pla del real",9,"",0,25
"8109",2,149,0,1,0,0,1,5,1,2,1,39.4643938,-0.3849434,300000,300000,"extramurs",1,"exterior",0,44
"8111",4,205,NA,1,NA,NA,1,3,0,2,1,39.4651894,-0.361559,875000,875000,"l'eixample",NA,"",0,28
"8121",3,195,NA,1,1,NA,1,4,0,2,1,39.4914746,-0.4019601,580000,580000,"campanar",14,"exterior",0,0
"8129",2,140,0,1,0,0,0,4,0,2,1,39.494565,-0.3759841,149900,149900,"rascanya",2,"exterior",0,41
"8134",1,84,0,0,0,0,0,1,0,2,1,39.4771403,-0.3802041,172000,172000,"ciutat vella",1,"exterior",0,0
"8163",1,45,NA,0,0,NA,NA,1,0,2,1,39.4667223,-0.3782095,140000,140000,"extramurs",2,"exterior",0,28
"8179",1,70,0,0,0,0,0,3,1,2,1,39.4860656,-0.3783171,65000,65000,"la saïdia",2,"exterior",0,0
"8241",2,169,NA,1,0,NA,NA,6,1,2,1,39.4674771,-0.3671665,399900,399900,"l'eixample",4,"exterior",0,25
"8294",1,80,0,0,0,0,0,2,0,2,1,39.4763173,-0.3701448,164990,164990,"ciutat vella",2,"exterior",0,41
"8304",1,75,0,0,0,0,1,2,0,2,1,39.4932935,-0.3948088,88640,88640,"benicalap",4,"exterior",0,12
"8345",2,70,NA,0,0,NA,NA,3,0,2,1,39.4952931,-0.3984999,105000,105000,"benicalap",1,"exterior",0,8
"8374",2,230,NA,1,0,NA,NA,5,0,2,1,39.4640789,-0.3725533,590000,590000,"l'eixample",5,"exterior",0,12
"8408",2,126,0,1,0,0,0,3,0,2,1,39.4753447,-0.3718609,365000,365000,"ciutat vella",1,"exterior",0,28
"8424",1,55,NA,0,0,NA,1,2,0,2,1,39.4559044,-0.3946678,126000,118000,"patraix",2,"exterior",-8000,12
"8476",4,300,0,1,1,0,1,6,0,2,1,39.4803091,-0.3594422,600000,600000,"el pla del real",10,"exterior",0,49
"8528",2,110,0,1,0,0,0,4,0,2,1,39.4703597,-0.352768,195000,195000,"algirós",3,"",0,39
"8536",1,57,NA,1,1,1,0,1,0,2,1,39.4880088,-0.4038193,163280,163280,"campanar",5,"",0,0
"8543",1,69,0,0,0,0,0,2,0,2,1,39.4711564,-0.3303227,175000,175000,"poblats marítims",1,"exterior",0,37
"8544",1,65,0,0,0,0,0,2,0,2,1,39.4712564,-0.3300227,175000,175000,"poblats marítims",1,"exterior",0,0
"8545",3,201,0,0,0,0,0,6,0,2,1,39.4698981,-0.3279587,525000,350000,"poblats marítims",1,"exterior",-175000,37
"8546",1,67,0,0,0,0,0,2,0,2,1,39.4710564,-0.3279227,175000,175000,"poblats marítims",1,"exterior",0,37
"8558",2,220,1,1,0,0,1,3,0,2,1,39.465996,-0.3823821,475000,475000,"extramurs",2,"exterior",0,0
"8569",2,138,NA,1,1,1,1,4,0,2,1,39.491372,-0.4009224,420000,420000,"campanar",11,"exterior",0,16
"8575",1,60,NA,0,0,NA,NA,3,1,2,1,39.4714553,-0.4006698,70000,70000,"l'olivereta",3,"exterior",0,13
"8616",1,99,0,1,0,0,1,3,0,2,1,39.4740923,-0.3833986,239900,239900,"extramurs",1,"exterior",0,0
"8618",2,120,1,1,0,0,0,3,0,2,1,39.4537938,-0.4019253,162000,162000,"patraix",4,"exterior",0,28
"8624",1,60,NA,0,0,NA,NA,2,0,2,1,39.4723076,-0.3273373,175000,175000,"poblats marítims",NA,"",0,37
"8652",2,135,NA,1,0,NA,1,3,0,2,1,39.4733292,-0.3687555,1140500,1140500,"l'eixample",1,"exterior",0,28
"8719",2,132,NA,1,1,NA,NA,3,0,2,1,39.4498364,-0.331671,175000,175000,"poblats marítims",3,"exterior",0,32
"8740",3,169,0,1,1,NA,NA,4,0,2,1,39.4724589,-0.3581664,650000,650000,"el pla del real",6,"exterior",0,20
"8748",2,113,NA,1,NA,NA,NA,2,0,2,1,39.4690901,-0.3733001,530000,530000,"l'eixample",NA,"",0,28
"8778",2,104,NA,1,0,NA,NA,3,0,2,1,39.4741357,-0.3947394,168000,168000,"extramurs",2,"exterior",0,20
"8781",2,228,0,1,1,1,1,3,0,2,1,39.4867174,-0.4032198,530000,530000,"campanar",14,"exterior",0,16
"8886",1,94,NA,NA,NA,NA,NA,3,0,2,1,39.4624494,-0.3920267,85000,85000,"patraix",NA,"",0,12
"8950",2,70,NA,1,0,NA,1,3,1,2,1,39.4525955,-0.3348127,89000,89000,"poblats marítims",1,"exterior",0,40
"8961",3,239,NA,1,NA,NA,NA,5,1,2,1,39.4731433,-0.3620715,890000,890000,"el pla del real",NA,"",0,0
"9282",2,140,0,1,0,0,0,3,0,2,1,39.4614268,-0.3333732,248950,248950,"poblats marítims",3,"exterior",0,12
"9304",1,65,NA,0,0,NA,0,3,1,2,1,39.4957186,-0.3712047,44000,44000,"rascanya",NA,"",0,12
"9306",1,68,0,1,0,0,0,1,0,2,1,39.4711934,-0.3739194,250000,250000,"ciutat vella",1,"exterior",0,25
"9324",3,287,0,1,NA,0,1,5,1,2,1,39.4658244,-0.3760886,549000,549000,"l'eixample",8,"exterior",0,41
"9361",2,120,NA,1,0,NA,NA,4,0,2,1,39.4598601,-0.3734152,199900,199900,"l'eixample",2,"exterior",0,0
"9387",2,181,NA,1,0,NA,NA,4,0,2,1,39.4626292,-0.3322912,407000,407000,"poblats marítims",4,"exterior",0,37
"9388",1,89,0,1,0,0,0,4,1,2,1,39.4840027,-0.3706886,139000,139000,"la saïdia",3,"exterior",0,28
"9423",2,95,1,1,1,1,1,2,0,2,1,39.4852174,-0.4037198,240000,240000,"campanar",NA,"",0,9
"9456",2,118,0,1,1,0,0,2,0,1,1,39.480644,-0.360715,350000,350000,"el pla del real",9,"exterior",0,49
"9467",2,112,0,1,1,0,0,3,0,2,1,39.4633868,-0.340898,252000,252000,"camins al grau",2,"exterior",0,32
"9487",2,132,NA,1,1,0,NA,3,0,2,1,39.4484364,-0.331971,175000,175000,"poblats marítims",3,"",0,32
"9592",1,90,NA,1,0,NA,NA,3,0,2,1,39.4493503,-0.402541,160000,160000,"patraix",2,"exterior",0,15
"9597",1,103,0,0,0,0,1,3,0,2,1,39.4757341,-0.3292484,109500,109500,"poblats marítims",3,"exterior",0,40
"9600",1,102,0,0,0,0,1,2,0,2,1,39.4729023,-0.3806907,219000,219000,"ciutat vella",1,"exterior",0,44
"9619",2,198,NA,1,NA,NA,NA,4,1,2,1,39.4699342,-0.3703427,637500,637500,"ciutat vella",NA,"",0,12
"9633",2,110,NA,1,NA,NA,NA,4,1,2,1,39.4650438,-0.3288156,135000,135000,"poblats marítims",1,"",0,0
