"";"baños";"m2";"jardin";"ascensor";"piscina";"terraza";"habitaciones";"a_reformar";"tipo_vendedor";"latitud";"longitud";"url";"precio_final";"distrito";"barrio";"armarios.empotrados";"acceso.adaptado";"aire.acondicionado";"balcon";"trastero";"garaje.incluido";"calefaccion";"planta";"vistas";"variacion_precio";"dias_venta";"planta_cat";"preciom2"
"427";1;77;"0";"1";"0";"0";2;"0";"2";39,4786446;-0,3852164;"https://www.idealista.com/inmueble/91242758/";230000;"ciutat vella";"el carme";"1";"1";"1";"1";"0";"0";"1";2;"1";0;28;"Baja";2987,01298701299
"428";2;208;"0";"1";"0";"0";4;"0";"2";39,4631773;-0,3682523;"https://www.idealista.com/inmueble/91243205/";490000;"l'eixample";"russafa";"1";"0";"0";"1";"1";"1";"0";4;"1";0;12;"Media";2355,76923076923
"429";2;155;"1";"1";"0";"0";6;"0";"2";39,4731028;-0,3683109;"https://www.idealista.com/inmueble/91253560/";490000;"l'eixample";"el pla del remei";"1";"1";"1";"0";"1";"1";"1";5;"1";0;28;"Alta";3161,29032258065
"430";1;78;"0";"1";"0";"1";2;"0";"1";39,4826088;-0,3836904;"https://www.idealista.com/inmueble/91255370/";85000;"campanar";"les tendetes";"0";"0";"0";"0";"0";"0";"0";0;"0";0;3;"Baja";1089,74358974359
"431";1;115;"0";"1";"0";"0";3;"0";"2";39,4636519;-0,3798967;"https://www.idealista.com/inmueble/91263028/";210000;"extramurs";"la roqueta";"0";"0";"1";"0";"1";"0";"0";3;"1";0;28;"Media";1826,08695652174
"432";2;107;"1";"1";"0";"1";2;"0";"2";39,4573079;-0,3584867;"https://www.idealista.com/inmueble/91266296/";390000;"quatre carreres";"ciutat de les arts i de les ciencies";"1";"1";"1";"0";"0";"1";"1";14;"1";0;24;"Alta";3644,85981308411
"433";1;115;"0";"1";"0";"0";4;"0";"2";39,4566332;-0,3611371;"https://www.idealista.com/inmueble/91274574/";150000;"quatre carreres";"mont-olivet";"0";"1";"1";"1";"0";"0";"0";2;"1";0;56;"Baja";1304,34782608696
"434";1;80;"0";"0";"0";"0";3;"0";"2";39,4951691;-0,3978584;"https://www.idealista.com/inmueble/91284915/";68600;"benicalap";"benicalap";"0";"0";"0";"0";"0";"0";"0";2;"1";0;4;"Baja";857,5
"435";4;125;"0";"1";"0";"1";3;"0";"2";39,4772865;-0,3255793;"https://www.idealista.com/inmueble/91286827/";730000;"poblats marítims";"playa de la malvarrosa";"1";"0";"1";"0";"0";"1";"1";2;"1";0;27;"Baja";5840
"436";3;250;"0";"1";"0";"0";5;"1";"2";39,4693368;-0,3721561;"https://www.idealista.com/inmueble/91301990/";990000;"ciutat vella";"sant francesc";"1";"1";"1";"0";"0";"1";"1";7;"1";0;28;"Alta";3960
"437";2;90;"0";"1";"0";"0";4;"0";"2";39,4380567;-0,3908767;"https://www.idealista.com/inmueble/91302673/";140000;"jesús";"camí reial";"1";"0";"0";"1";"0";"0";"0";3;"1";0;13;"Media";1555,55555555556
"438";4;137;"1";"1";"0";"1";3;"0";"2";39,4746704;-0,3274358;"https://www.idealista.com/inmueble/91307073/";730000;"poblats marítims";"playa de la malvarrosa";"1";"1";"1";"0";"1";"1";"1";2;"1";0;37;"Baja";5328,46715328467
"439";3;148;"0";"1";"0";"0";3;"0";"2";39,4700495;-0,3779342;"https://www.idealista.com/inmueble/91311279/";640000;"ciutat vella";"sant francesc";"0";"1";"1";"1";"0";"0";"1";4;"1";0;25;"Media";4324,32432432432
